metric_key,label_en,value,value_text,unit,display_order
karanj_procurement_quantity_2025,Karanj Procurement Qty (2025),2200,,tonne,1
karanj_price_range_2025,Karanj Price Range (2025),,₹46-48.6/kg,,2
